,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,780,550,1495,2.33,0.58,0.156,0.040999999999999995,15,1.3
1,G&S_occipital_inf,1452,991,3115,2.7,0.545,0.146,0.027000000000000003,24,1.6
2,G&S_paracentral,1575,853,2355,2.2840000000000003,0.523,0.107,0.026000000000000002,18,1.5
3,G&S_subcentral,1477,1003,3415,2.82,0.537,0.134,0.027999999999999997,27,1.6
4,G&S_transv_frontopol,1302,934,3640,2.887,0.858,0.18899999999999997,0.059000000000000004,32,3.7
5,G&S_cingul-Ant,3091,2137,6329,2.687,0.521,0.135,0.031,45,4.0
6,G&S_cingul-Mid-Ant,1495,1034,2935,2.7030000000000003,0.49700000000000005,0.11900000000000001,0.021,14,1.3
7,G&S_cingul-Mid-Post,1433,1017,2690,2.634,0.41100000000000003,0.121,0.024,14,1.6
8,G_cingul-Post-dorsal,598,387,1736,3.205,0.513,0.17600000000000002,0.053,16,1.3
9,G_cingul-Post-ventral,332,213,976,3.228,0.934,0.149,0.05,6,0.6
10,G_cuneus,2159,1321,3297,2.075,0.515,0.134,0.036000000000000004,34,3.1
11,G_front_inf-Opercular,1272,860,3273,2.8760000000000003,0.363,0.131,0.025,22,1.2
12,G_front_inf-Orbital,452,287,1078,2.648,0.358,0.16399999999999998,0.042,12,0.8
13,G_front_inf-Triangul,718,478,1811,2.737,0.565,0.145,0.03,13,0.8
14,G_front_middle,4747,3173,12380,2.7939999999999996,0.605,0.149,0.037000000000000005,100,7.1
15,G_front_sup,7461,4791,19311,3.052,0.569,0.133,0.033,115,9.3
16,G_Ins_lg&S_cent_ins,585,388,1697,3.62,0.787,0.138,0.048,10,1.1
17,G_insular_short,712,489,2531,3.5869999999999997,0.8109999999999999,0.152,0.055,15,1.7
18,G_occipital_middle,2467,1566,6085,2.825,0.507,0.142,0.031,45,3.1
19,G_occipital_sup,1685,1038,3466,2.494,0.623,0.125,0.028999999999999998,26,1.8
20,G_oc-temp_lat-fusifor,2155,1359,5463,3.012,0.545,0.14300000000000002,0.038,44,3.1
21,G_oc-temp_med-Lingual,3606,2312,6001,2.124,0.6829999999999999,0.153,0.045,65,6.2
22,G_oc-temp_med-Parahip,1150,742,3708,3.532,0.765,0.124,0.032,14,1.2
23,G_orbital,3042,2109,8321,2.9139999999999997,0.604,0.162,0.052000000000000005,75,5.5
24,G_pariet_inf-Angular,3284,2163,7916,2.676,0.607,0.13699999999999998,0.033,60,4.3
