,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,1549,1119,3058,2.436,0.542,0.149,0.028999999999999998,23,2.1
1,G&S_occipital_inf,2120,1384,3609,2.39,0.452,0.124,0.023,24,1.9
2,G&S_paracentral,2017,1030,3164,2.4930000000000003,0.56,0.087,0.018000000000000002,15,1.4
3,G&S_subcentral,1368,891,3064,2.8280000000000003,0.467,0.12,0.024,16,1.2
4,G&S_transv_frontopol,876,614,2230,2.7439999999999998,0.455,0.154,0.03,18,1.0
5,G&S_cingul-Ant,2614,1833,5380,2.841,0.526,0.125,0.026000000000000002,35,2.6
6,G&S_cingul-Mid-Ant,1558,1085,2841,2.5669999999999997,0.502,0.109,0.02,13,1.3
7,G&S_cingul-Mid-Post,1449,995,2507,2.475,0.426,0.113,0.02,13,1.2
8,G_cingul-Post-dorsal,790,496,1873,3.056,0.523,0.159,0.037000000000000005,16,1.1
9,G_cingul-Post-ventral,364,225,819,2.696,0.8029999999999999,0.13,0.048,7,0.5
10,G_cuneus,2484,1587,3720,1.984,0.588,0.14800000000000002,0.031,39,2.9
11,G_front_inf-Opercular,1349,894,3706,3.049,0.374,0.128,0.025,23,1.3
12,G_front_inf-Orbital,392,257,1140,3.193,0.316,0.13,0.026000000000000002,5,0.4
13,G_front_inf-Triangul,1485,932,3754,2.991,0.441,0.135,0.027999999999999997,23,1.7
14,G_front_middle,5109,3292,11934,2.784,0.501,0.132,0.027000000000000003,84,5.6
15,G_front_sup,8220,5375,19731,2.9339999999999997,0.539,0.136,0.028999999999999998,123,9.4
16,G_Ins_lg&S_cent_ins,788,517,1890,3.364,0.8420000000000001,0.121,0.040999999999999995,11,1.0
17,G_insular_short,699,466,2287,3.543,0.8109999999999999,0.11699999999999999,0.04,11,1.1
18,G_occipital_middle,2561,1573,5420,2.617,0.47700000000000004,0.14300000000000002,0.027999999999999997,46,2.8
19,G_occipital_sup,1480,969,2551,2.249,0.527,0.127,0.023,19,1.4
20,G_oc-temp_lat-fusifor,2291,1458,5300,2.887,0.507,0.135,0.028999999999999998,39,2.4
21,G_oc-temp_med-Lingual,3784,2388,6097,2.1319999999999997,0.6859999999999999,0.145,0.034,58,5.3
22,G_oc-temp_med-Parahip,1742,1140,5301,3.425,0.7490000000000001,0.102,0.022000000000000002,15,1.4
23,G_orbital,2713,1801,7081,2.812,0.629,0.127,0.037000000000000005,45,3.7
24,G_pariet_inf-Angular,2692,1744,6545,2.7969999999999997,0.517,0.133,0.025,43,2.8
25,G_pariet_inf-Supramar,3473,2325,8076,2.767,0.5529999999999999,0.131,0.027999999999999997,52,3.3
26,G_parietal_sup,2489,1591,5455,2.6660000000000004,0.561,0.122,0.022000000000000002,32,2.2
27,G_postcentral,2423,1343,3715,2.207,0.47,0.094,0.016,24,1.6
28,G_precentral,2818,1561,6644,3.13,0.501,0.10300000000000001,0.03,156,4.2
29,G_precuneus,2692,1746,6249,2.714,0.474,0.138,0.026000000000000002,48,2.7
30,G_rectus,885,625,2303,2.5980000000000003,0.585,0.132,0.033,22,1.2
31,G_subcallosal,825,564,1471,2.548,0.9840000000000001,0.111,0.043,9,1.4
32,G_temp_sup-G_T_transv,533,312,968,2.6710000000000003,0.48700000000000004,0.133,0.028999999999999998,8,0.5
33,G_temp_sup-Lateral,1976,1276,6057,3.258,0.561,0.126,0.022000000000000002,37,1.6
34,G_temp_sup-Plan_polar,753,527,2413,3.772,0.667,0.081,0.013999999999999999,3,0.5
35,G_temp_sup-Plan_tempo,1391,943,2655,2.542,0.49,0.111,0.019,16,1.1
36,G_temporal_inf,2782,1827,7504,3.005,0.715,0.138,0.038,59,4.5
37,G_temporal_middle,2616,1694,7608,3.136,0.556,0.125,0.024,41,2.4
38,Lat_Fis-ant-Horizont,342,229,551,2.634,0.418,0.10400000000000001,0.016,2,0.2
39,Lat_Fis-ant-Vertical,466,322,828,2.75,0.396,0.10800000000000001,0.016,4,0.4
40,Lat_Fis-post,1238,822,1670,2.41,0.48700000000000004,0.12,0.023,10,1.2
41,Pole_occipital,2527,1444,3583,2.1390000000000002,0.531,0.146,0.04,43,4.0
42,Pole_temporal,1670,1134,5850,3.556,0.6809999999999999,0.138,0.039,26,2.6
43,S_calcarine,2523,1734,2991,1.912,0.616,0.126,0.027999999999999997,29,2.8
44,S_central,3397,2294,4063,1.9980000000000002,0.596,0.10400000000000001,0.018000000000000002,20,2.6
45,S_cingul-Marginalis,1119,781,1644,2.332,0.335,0.09300000000000001,0.013000000000000001,5,0.6
46,S_circular_insula_ant,532,362,950,3.09,0.465,0.08199999999999999,0.013000000000000001,2,0.3
47,S_circular_insula_inf,1569,1043,2592,3.015,0.621,0.086,0.015,6,1.2
48,S_circular_insula_sup,1698,1150,2455,2.528,0.405,0.094,0.017,7,1.2
